,precision,recall,f1-score,support
actinolite,0.7777777777777778,0.5833333333333334,0.6666666666666666,12.0
aegirine,1.0,1.0,1.0,6.0
albite,0.9846625766871165,0.9876923076923076,0.9861751152073732,325.0
almandine,0.9696969696969697,0.9846153846153847,0.9770992366412213,65.0
analcime,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
andalusite,1.0,1.0,1.0,15.0
andradite,1.0,1.0,1.0,3.0
anhydrite,1.0,1.0,1.0,4.0
anorthite,0.7142857142857143,0.625,0.6666666666666666,8.0
azurite,1.0,1.0,1.0,8.0
barite,1.0,1.0,1.0,7.0
barylite,1.0,1.0,1.0,2.0
beryl,1.0,1.0,1.0,9.0
boracite,1.0,1.0,1.0,3.0
calcite,1.0,1.0,1.0,27.0
celadonite,0.75,1.0,0.8571428571428571,3.0
chabazite-ca,1.0,1.0,1.0,2.0
chabazite-na,0.6666666666666666,1.0,0.8,2.0
chambersite,1.0,1.0,1.0,4.0
chloroapatite,1.0,1.0,1.0,63.0
chromite,0.9909365558912386,0.9820359281437125,0.9864661654135338,334.0
clinozoisite,0.7142857142857143,1.0,0.8333333333333334,5.0
cordierite,1.0,1.0,1.0,3.0
cummingtonite,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
cuprite,1.0,1.0,1.0,6.0
diopside,0.9855471438403304,0.988950276243094,0.9872457773181661,1448.0
dolomite,1.0,1.0,1.0,32.0
edenite,0.625,0.7142857142857143,0.6666666666666666,7.0
enstatite,0.9962034927866363,0.9924357034795764,0.9943160287987874,1322.0
epidote,1.0,0.75,0.8571428571428571,4.0
fayalite,0.9814814814814815,0.9636363636363636,0.9724770642201835,110.0
ferroedenite,1.0,0.3333333333333333,0.5,3.0
ferrosilite,0.9861111111111112,0.9861111111111112,0.9861111111111112,504.0
fluorapatite,0.9980059820538385,1.0,0.999001996007984,1001.0
fluorbuergerite,1.0,1.0,1.0,2.0
fluorite,1.0,1.0,1.0,3.0
forsterite,0.9961715160796325,0.999231950844854,0.9976993865030674,1302.0
goethite,1.0,1.0,1.0,2.0
grossular,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
halite,1.0,1.0,1.0,2.0
harmotome,1.0,1.0,1.0,2.0
hauynite,0.5,1.0,0.6666666666666666,2.0
hedenbergite,0.969639468690702,0.969639468690702,0.969639468690702,527.0
hematite,1.0,1.0,1.0,5.0
heulandite ca,1.0,1.0,1.0,3.0
hydroxylapatite,1.0,0.5,0.6666666666666666,4.0
ilmenite,0.9876977152899824,0.9982238010657194,0.9929328621908127,563.0
johannsenite,1.0,1.0,1.0,3.0
kaersutite,0.9032258064516129,0.9655172413793104,0.9333333333333333,29.0
kalsilite,1.0,1.0,1.0,6.0
katophorite,1.0,0.6666666666666666,0.8,3.0
laumontite,1.0,1.0,1.0,5.0
leucite,0.9929078014184397,1.0,0.99644128113879,140.0
liebenbergite,1.0,1.0,1.0,3.0
magnesiohastingsite,0.6666666666666666,0.5,0.5714285714285714,4.0
magnesiohornblende,0.7777777777777778,0.7777777777777778,0.7777777777777778,27.0
magnesite,1.0,1.0,1.0,3.0
magnetite,0.9896755162241888,0.9882179675994109,0.9889462048636699,679.0
malachite,1.0,1.0,1.0,3.0
malayaite,1.0,1.0,1.0,7.0
manganosite,1.0,1.0,1.0,2.0
marokite,1.0,1.0,1.0,3.0
monticellite,1.0,1.0,1.0,4.0
muscovite,0.9956896551724138,0.9914163090128756,0.9935483870967742,233.0
orthoclase,0.9936305732484076,0.9811320754716981,0.9873417721518988,159.0
paragonite,1.0,1.0,1.0,5.0
pargasite,0.75,0.6,0.6666666666666666,15.0
perovskite,1.0,1.0,1.0,97.0
phlogopite,0.9944289693593314,0.9944289693593314,0.9944289693593314,359.0
powellite,1.0,1.0,1.0,3.0
pyrope,1.0,1.0,1.0,2.0
quartz,0.9833333333333333,1.0,0.9915966386554622,59.0
richterite,1.0,0.9302325581395349,0.963855421686747,43.0
rutile,0.9880952380952381,1.0,0.9940119760479041,83.0
sapphirine,1.0,1.0,1.0,3.0
schorl,0.75,1.0,0.8571428571428571,3.0
serendibite,1.0,1.0,1.0,2.0
sodalite,1.0,0.875,0.9333333333333333,32.0
stilbite-ca,1.0,1.0,1.0,3.0
titanite,0.9972067039106145,0.9944289693593314,0.99581589958159,359.0
trevorite,1.0,1.0,1.0,5.0
tschermakite,0.75,0.8181818181818182,0.782608695652174,11.0
witherite,1.0,1.0,1.0,3.0
wollastonite,1.0,1.0,1.0,3.0
zircon,1.0,1.0,1.0,246.0
accuracy,0.9879287219773903,0.9879287219773903,0.9879287219773903,0.9879287219773903
macro avg,0.9465432118546824,0.941749033959598,0.9376337714052754,10438.0
weighted avg,0.9881830079035497,0.9879287219773903,0.9878340782833281,10438.0
