,precision,recall,f1-score,support
actinolite,0.8,1.0,0.8888888888888888,12.0
albite,0.9938461538461538,0.9938461538461538,0.9938461538461538,325.0
almandine,1.0,1.0,1.0,65.0
andalusite,1.0,1.0,1.0,15.0
calcite,1.0,1.0,1.0,27.0
chloroapatite,1.0,1.0,1.0,63.0
chromite,0.9850299401197605,0.9850299401197605,0.9850299401197605,334.0
diopside,0.9902979902979903,0.986878453038674,0.9885852646143203,1448.0
dolomite,1.0,1.0,1.0,32.0
enstatite,0.9909774436090225,0.9969742813918305,0.9939668174962293,1322.0
fayalite,0.990990990990991,1.0,0.995475113122172,110.0
ferrosilite,0.9727626459143969,0.9920634920634921,0.9823182711198428,504.0
fluorapatite,0.998998998998999,0.997002997002997,0.998,1001.0
forsterite,0.9976923076923077,0.9961597542242704,0.9969254419677172,1302.0
grossular,1.0,1.0,1.0,12.0
hedenbergite,0.9806949806949807,0.9639468690702088,0.9722488038277513,527.0
ilmenite,1.0,0.99644128113879,0.9982174688057041,562.0
kaersutite,1.0,0.896551724137931,0.9454545454545454,29.0
leucite,1.0,1.0,1.0,140.0
magnesiohornblende,0.8636363636363636,0.7037037037037037,0.7755102040816326,27.0
magnetite,0.9911894273127754,0.9941089837997055,0.9926470588235294,679.0
muscovite,1.0,1.0,1.0,233.0
orthoclase,0.9937106918238994,0.9937106918238994,0.9937106918238994,159.0
pargasite,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
perovskite,1.0,1.0,1.0,97.0
phlogopite,1.0,0.9888579387186629,0.9943977591036415,359.0
quartz,0.9833333333333333,1.0,0.9915966386554622,59.0
richterite,1.0,1.0,1.0,43.0
rutile,0.9880952380952381,1.0,0.9940119760479041,83.0
sodalite,1.0,1.0,1.0,32.0
titanite,0.9916666666666667,0.9944289693593314,0.9930458970792768,359.0
tschermakite,0.6875,1.0,0.8148148148148148,11.0
zircon,1.0,1.0,1.0,246.0
accuracy,0.9915949960906959,0.9915949960906959,0.9915949960906959,0.9915949960906959
macro avg,0.9737501971626125,0.9822132899022045,0.976425002515957,10232.0
weighted avg,0.9917572222554321,0.9915949960906959,0.991589907903528,10232.0
