,precision,recall,f1-score,support
actinolite,0.11764705882352941,0.16666666666666666,0.13793103448275862,12.0
albite,0.9875776397515528,0.9784615384615385,0.9829984544049459,325.0
almandine,1.0,0.9846153846153847,0.9922480620155039,65.0
andalusite,1.0,1.0,1.0,15.0
calcite,1.0,1.0,1.0,27.0
chloroapatite,0.9836065573770492,0.9523809523809523,0.967741935483871,63.0
chromite,0.9615384615384616,0.9730538922155688,0.9672619047619048,334.0
diopside,0.9826923076923076,0.35290055248618785,0.5193089430894309,1448.0
dolomite,1.0,1.0,1.0,32.0
enstatite,0.9893697798025817,0.9856278366111951,0.9874952633573323,1322.0
fayalite,0.8294573643410853,0.9727272727272728,0.895397489539749,110.0
ferrosilite,0.9688715953307393,0.9880952380952381,0.9783889980353635,504.0
fluorapatite,0.9970089730807578,0.999000999000999,0.998003992015968,1001.0
forsterite,0.9992163009404389,0.9792626728110599,0.9891388673390225,1302.0
grossular,0.3548387096774194,0.9166666666666666,0.5116279069767442,12.0
hedenbergite,0.35310156782549423,0.9829222011385199,0.5195586760280843,527.0
ilmenite,0.9786476868327402,0.9786476868327402,0.9786476868327402,562.0
kaersutite,0.75,0.41379310344827586,0.5333333333333333,29.0
leucite,0.9849624060150376,0.9357142857142857,0.9597069597069597,140.0
magnesiohornblende,0.6666666666666666,0.14814814814814814,0.24242424242424243,27.0
magnetite,0.9791976225854383,0.9705449189985272,0.9748520710059172,679.0
muscovite,0.9866666666666667,0.9527896995708155,0.9694323144104804,233.0
orthoclase,0.9808917197452229,0.9685534591194969,0.9746835443037974,159.0
pargasite,0.4666666666666667,0.4666666666666667,0.4666666666666667,15.0
perovskite,1.0,0.9896907216494846,0.9948186528497409,97.0
phlogopite,0.9915730337078652,0.9832869080779945,0.9874125874125874,359.0
quartz,0.9655172413793104,0.9491525423728814,0.9572649572649573,59.0
richterite,0.86,1.0,0.9247311827956989,43.0
rutile,0.9879518072289156,0.9879518072289156,0.9879518072289156,83.0
sodalite,0.8421052631578947,1.0,0.9142857142857143,32.0
titanite,0.9850299401197605,0.9164345403899722,0.9494949494949495,359.0
tschermakite,0.09803921568627451,0.45454545454545453,0.16129032258064516,11.0
zircon,1.0,1.0,1.0,246.0
accuracy,0.8841868647380766,0.8841868647380766,0.8841868647380766,0.8841868647380766
macro avg,0.849964916746663,0.8590394489891184,0.831033288488728,10232.0
weighted avg,0.9466582762004905,0.8841868647380766,0.8857276511634121,10232.0
