,actinolite,albite,almandine,andalusite,calcite,chloroapatite,chromite,diopside,dolomite,enstatite,fayalite,ferrosilite,fluorapatite,forsterite,grossular,hedenbergite,ilmenite,kaersutite,leucite,magnesiohornblende,magnetite,muscovite,orthoclase,pargasite,perovskite,phlogopite,quartz,richterite,rutile,sodalite,titanite,tschermakite,zircon
actinolite,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
albite,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0
almandine,0,0,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andalusite,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calcite,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chloroapatite,0,0,0,0,0,60,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromite,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
diopside,14,0,0,0,0,0,0,511,0,10,0,1,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0
dolomite,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enstatite,0,0,0,0,0,0,0,1,0,1303,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0
fayalite,0,0,0,0,0,0,0,0,0,0,107,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ferrosilite,0,0,0,0,0,0,0,0,0,0,0,498,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fluorapatite,0,0,0,0,0,1,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forsterite,0,0,0,0,0,0,0,0,0,2,22,0,0,1275,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grossular,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hedenbergite,0,0,0,0,0,0,0,2,0,2,0,5,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ilmenite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,5,0,0,0,0,1,0,0,1,0,2,3,0
kaersutite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0
leucite,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,1,0,0,0,1,0,0,0,6,0,0,0
magnesiohornblende,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0
magnetite,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,659,0,0,0,0,1,0,0,0,0,0,0,0
muscovite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0
orthoclase,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,154,0,0,0,0,0,0,0,0,1,0
pargasite,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0
perovskite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,1,0,0
phlogopite,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,353,0,0,0,0,0,1,0
quartz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,56,0,0,0,1,0,0
richterite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
rutile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0
sodalite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
titanite,1,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,329,15,0
tschermakite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,5,0
zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246
