,precision,recall,f1-score,support
actinolite,1.0,0.5833333333333334,0.7368421052631579,12.0
albite,0.9847560975609756,0.9938461538461538,0.9892802450229708,325.0
almandine,0.9848484848484849,1.0,0.9923664122137404,65.0
andalusite,1.0,1.0,1.0,15.0
calcite,1.0,1.0,1.0,27.0
chloroapatite,1.0,0.9523809523809523,0.975609756097561,63.0
chromite,0.9880239520958084,0.9880239520958084,0.9880239520958084,334.0
diopside,0.9882839421088904,0.9903314917127072,0.9893066574680924,1448.0
dolomite,1.0,1.0,1.0,32.0
enstatite,0.9932177844762623,0.9969742813918305,0.9950924877312193,1322.0
fayalite,1.0,0.9818181818181818,0.9908256880733946,110.0
ferrosilite,0.9881889763779528,0.996031746031746,0.9920948616600791,504.0
fluorapatite,0.9960159362549801,0.999000999000999,0.9975062344139651,1001.0
forsterite,0.9969278033794163,0.9969278033794163,0.9969278033794163,1302.0
grossular,1.0,0.75,0.8571428571428571,12.0
hedenbergite,0.9718574108818011,0.9829222011385199,0.9773584905660377,527.0
ilmenite,0.994661921708185,0.994661921708185,0.994661921708185,562.0
kaersutite,0.9642857142857143,0.9310344827586207,0.9473684210526315,29.0
leucite,1.0,1.0,1.0,140.0
magnesiohornblende,0.8947368421052632,0.6296296296296297,0.7391304347826086,27.0
magnetite,0.9926578560939795,0.9955817378497791,0.9941176470588236,679.0
muscovite,1.0,1.0,1.0,233.0
orthoclase,0.9936305732484076,0.9811320754716981,0.9873417721518988,159.0
pargasite,0.8571428571428571,0.8,0.8275862068965517,15.0
perovskite,1.0,1.0,1.0,97.0
phlogopite,1.0,0.9888579387186629,0.9943977591036415,359.0
quartz,0.9827586206896551,0.9661016949152542,0.9743589743589743,59.0
richterite,1.0,0.9767441860465116,0.9882352941176471,43.0
rutile,0.9880952380952381,1.0,0.9940119760479041,83.0
sodalite,1.0,1.0,1.0,32.0
titanite,0.9916434540389972,0.9916434540389972,0.9916434540389972,359.0
tschermakite,0.7142857142857143,0.9090909090909091,0.8,11.0
zircon,1.0,1.0,1.0,246.0
accuracy,0.9913995308835027,0.9913995308835027,0.9913995308835027,0.9913995308835027
macro avg,0.9777581569599572,0.9507899735259969,0.9609464064377625,10232.0
weighted avg,0.9914182045813634,0.9913995308835027,0.9912361268948299,10232.0
