,precision,recall,f1-score,support
actinolite,0.0,0.0,0.0,12.0
aegirine,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
albite,0.9672727272727273,0.8184615384615385,0.8866666666666667,325.0
analcime,0.4166666666666667,0.7142857142857143,0.5263157894736842,7.0
andalusite,0.8333333333333334,1.0,0.9090909090909091,15.0
andradite,0.07317073170731707,1.0,0.13636363636363635,3.0
anhydrite,1.0,1.0,1.0,4.0
anorthite,0.03125,0.625,0.05952380952380952,8.0
azurite,0.7272727272727273,1.0,0.8421052631578947,8.0
barite,1.0,1.0,1.0,7.0
barylite,0.0,0.0,0.0,2.0
beryl,1.0,0.7777777777777778,0.875,9.0
boracite,1.0,1.0,1.0,3.0
celadonite,0.0,0.0,0.0,3.0
chabazite-ca,1.0,1.0,1.0,2.0
chabazite-na,0.6666666666666666,1.0,0.8,2.0
chambersite,1.0,1.0,1.0,4.0
chloroapatite,0.6029411764705882,0.6507936507936508,0.6259541984732825,63.0
chromite,0.9642857142857143,0.8083832335329342,0.8794788273615635,334.0
clinozoisite,0.0,0.0,0.0,5.0
cordierite,0.3333333333333333,1.0,0.5,3.0
cummingtonite,0.0,0.0,0.0,6.0
cuprite,1.0,1.0,1.0,6.0
diopside,0.37428123366440147,0.988950276243094,0.5430413348502086,1448.0
dolomite,1.0,0.6875,0.8148148148148148,32.0
edenite,0.0,0.0,0.0,7.0
enstatite,0.96875,0.046898638426626324,0.08946608946608947,1322.0
epidote,0.0,0.0,0.0,4.0
fayalite,0.19642857142857142,0.2,0.1981981981981982,110.0
fluorite,1.0,1.0,1.0,3.0
forsterite,0.9944289693593314,0.27419354838709675,0.42986152919927756,1302.0
goethite,1.0,1.0,1.0,2.0
grossular,0.058823529411764705,0.25,0.09523809523809523,12.0
halite,1.0,1.0,1.0,2.0
harmotome,0.5,1.0,0.6666666666666666,2.0
hauynite,0.4,1.0,0.5714285714285714,2.0
hematite,0.7142857142857143,1.0,0.8333333333333334,5.0
hydroxylapatite,0.14814814814814814,1.0,0.25806451612903225,4.0
johannsenite,0.42857142857142855,1.0,0.6,3.0
kaersutite,0.0,0.0,0.0,29.0
kalsilite,0.6,1.0,0.75,6.0
katophorite,0.0,0.0,0.0,3.0
laumontite,0.6666666666666666,0.8,0.7272727272727273,5.0
leucite,1.0,0.8714285714285714,0.9312977099236641,140.0
liebenbergite,1.0,1.0,1.0,3.0
magnesite,0.23076923076923078,1.0,0.375,3.0
malachite,0.0,0.0,0.0,3.0
malayaite,0.0,0.0,0.0,7.0
manganosite,1.0,1.0,1.0,2.0
marokite,1.0,1.0,1.0,3.0
monticellite,0.10810810810810811,1.0,0.1951219512195122,4.0
muscovite,0.95,0.0815450643776824,0.15019762845849802,233.0
orthoclase,0.8941176470588236,0.9559748427672956,0.9240121580547113,159.0
paragonite,0.3125,1.0,0.47619047619047616,5.0
pargasite,0.0,0.0,0.0,15.0
perovskite,1.0,0.7319587628865979,0.8452380952380952,97.0
powellite,1.0,1.0,1.0,3.0
pyrope,0.02197802197802198,1.0,0.043010752688172046,2.0
quartz,0.9818181818181818,0.9152542372881356,0.9473684210526315,59.0
richterite,0.0,0.0,0.0,43.0
rutile,1.0,1.0,1.0,83.0
sapphirine,0.0,0.0,0.0,3.0
schorl,1.0,1.0,1.0,3.0
serendibite,1.0,1.0,1.0,2.0
sodalite,0.0,0.0,0.0,32.0
stilbite-ca,1.0,0.6666666666666666,0.8,3.0
titanite,1.0,0.7910863509749304,0.8833592534992224,359.0
trevorite,0.5,0.6,0.5454545454545454,5.0
tschermakite,0.0,0.0,0.0,11.0
witherite,1.0,1.0,1.0,3.0
wollastonite,0.42857142857142855,1.0,0.6,3.0
zircon,1.0,0.983739837398374,0.9918032786885246,246.0
accuracy,0.5471980821096794,0.5471980821096794,0.5471980821096794,0.5471980821096794
macro avg,0.5661264808821606,0.6607393339587503,0.5523664401614021,6674.0
weighted avg,0.7949215284050206,0.5471980821096794,0.501712290209688,6674.0
