,precision,recall,f1-score,support
actinolite,0.003253475303164744,0.9166666666666666,0.006483937518420277,12.0
aegirine,0.8,0.6666666666666666,0.7272727272727273,6.0
albite,0.9065155807365439,0.9846153846153847,0.943952802359882,325.0
analcime,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
andalusite,1.0,1.0,1.0,15.0
andradite,1.0,1.0,1.0,3.0
anhydrite,1.0,1.0,1.0,4.0
anorthite,1.0,0.625,0.7692307692307693,8.0
azurite,0.7272727272727273,1.0,0.8421052631578947,8.0
barite,1.0,1.0,1.0,7.0
barylite,0.5,1.0,0.6666666666666666,2.0
beryl,1.0,0.7777777777777778,0.875,9.0
boracite,1.0,1.0,1.0,3.0
celadonite,0.25,1.0,0.4,3.0
chabazite-ca,0.6666666666666666,1.0,0.8,2.0
chabazite-na,1.0,1.0,1.0,2.0
chambersite,0.14285714285714285,1.0,0.25,4.0
chloroapatite,0.9607843137254902,0.7777777777777778,0.8596491228070176,63.0
chromite,0.9933554817275747,0.8952095808383234,0.9417322834645669,334.0
clinozoisite,0.0,0.0,0.0,5.0
cordierite,0.030303030303030304,0.3333333333333333,0.05555555555555555,3.0
cummingtonite,0.0,0.0,0.0,6.0
cuprite,1.0,1.0,1.0,6.0
diopside,0.0,0.0,0.0,1448.0
dolomite,1.0,0.6875,0.8148148148148148,32.0
edenite,0.0,0.0,0.0,7.0
enstatite,0.0,0.0,0.0,1322.0
epidote,0.0,0.0,0.0,4.0
fayalite,0.46808510638297873,0.2,0.2802547770700637,110.0
fluorite,1.0,1.0,1.0,3.0
forsterite,1.0,0.017665130568356373,0.03471698113207547,1302.0
goethite,0.6666666666666666,1.0,0.8,2.0
grossular,0.5833333333333334,0.5833333333333334,0.5833333333333334,12.0
halite,1.0,1.0,1.0,2.0
harmotome,1.0,1.0,1.0,2.0
hauynite,0.3333333333333333,1.0,0.5,2.0
hematite,0.7142857142857143,1.0,0.8333333333333334,5.0
hydroxylapatite,0.2,1.0,0.3333333333333333,4.0
johannsenite,0.42857142857142855,1.0,0.6,3.0
kaersutite,0.3953488372093023,0.5862068965517241,0.4722222222222222,29.0
kalsilite,0.6,1.0,0.75,6.0
katophorite,0.2,0.6666666666666666,0.3076923076923077,3.0
laumontite,0.7142857142857143,1.0,0.8333333333333334,5.0
leucite,0.0,0.0,0.0,140.0
liebenbergite,1.0,1.0,1.0,3.0
magnesite,0.23076923076923078,1.0,0.375,3.0
malachite,0.0,0.0,0.0,3.0
malayaite,1.0,1.0,1.0,7.0
manganosite,1.0,1.0,1.0,2.0
marokite,1.0,1.0,1.0,3.0
monticellite,0.017699115044247787,0.5,0.03418803418803419,4.0
muscovite,0.4626334519572954,0.5579399141630901,0.5058365758754864,233.0
orthoclase,0.0,0.0,0.0,159.0
paragonite,0.38461538461538464,1.0,0.5555555555555556,5.0
pargasite,1.0,0.06666666666666667,0.125,15.0
perovskite,1.0,1.0,1.0,97.0
powellite,1.0,1.0,1.0,3.0
pyrope,1.0,1.0,1.0,2.0
quartz,0.9818181818181818,0.9152542372881356,0.9473684210526315,59.0
richterite,1.0,0.046511627906976744,0.08888888888888889,43.0
rutile,0.9764705882352941,1.0,0.9880952380952381,83.0
sapphirine,0.6,1.0,0.75,3.0
schorl,1.0,1.0,1.0,3.0
serendibite,1.0,1.0,1.0,2.0
sodalite,0.3,0.09375,0.14285714285714285,32.0
stilbite-ca,0.004694835680751174,0.6666666666666666,0.009324009324009324,3.0
titanite,1.0,0.9610027855153204,0.9801136363636364,359.0
trevorite,0.3333333333333333,0.6,0.42857142857142855,5.0
tschermakite,0.0,0.0,0.0,11.0
witherite,1.0,1.0,1.0,3.0
wollastonite,0.6,1.0,0.75,3.0
zircon,1.0,0.983739837398374,0.9918032786885246,246.0
accuracy,0.28348816302067725,0.28348816302067725,0.28348816302067725,0.28348816302067725
macro avg,0.6228280463997389,0.7177969378031919,0.6051204220714376,6674.0
weighted avg,0.48572298098608646,0.28348816302067725,0.28426337055071776,6674.0
