,precision,recall,f1-score,support
actinolite,0.00872093023255814,1.0,0.01729106628242075,12.0
aegirine,1.0,1.0,1.0,6.0
albite,0.9690402476780186,0.963076923076923,0.9660493827160493,325.0
analcime,0.35294117647058826,0.8571428571428571,0.5,7.0
andalusite,0.7894736842105263,1.0,0.8823529411764706,15.0
anhydrite,1.0,1.0,1.0,4.0
anorthite,1.0,0.75,0.8571428571428571,8.0
azurite,1.0,1.0,1.0,8.0
barite,1.0,1.0,1.0,7.0
beryl,1.0,1.0,1.0,9.0
chambersite,1.0,1.0,1.0,4.0
chloroapatite,0.9642857142857143,0.8571428571428571,0.907563025210084,63.0
chromite,1.0,0.9341317365269461,0.9659442724458205,334.0
clinozoisite,0.5,1.0,0.6666666666666666,5.0
cummingtonite,0.0,0.0,0.0,6.0
cuprite,1.0,1.0,1.0,6.0
diopside,0.9953271028037384,0.5883977900552486,0.7395833333333334,1448.0
dolomite,1.0,1.0,1.0,32.0
edenite,0.0,0.0,0.0,7.0
enstatite,0.9166666666666666,0.01664145234493192,0.03268945022288262,1322.0
epidote,0.0,0.0,0.0,4.0
fayalite,0.6666666666666666,0.41818181818181815,0.5139664804469274,110.0
forsterite,0.9950124688279302,0.9193548387096774,0.9556886227544911,1302.0
grossular,0.6111111111111112,0.9166666666666666,0.7333333333333333,12.0
hematite,0.7142857142857143,1.0,0.8333333333333334,5.0
hydroxylapatite,0.2857142857142857,1.0,0.4444444444444444,4.0
kaersutite,0.3225806451612903,0.6896551724137931,0.43956043956043955,29.0
kalsilite,0.8571428571428571,1.0,0.9230769230769231,6.0
laumontite,1.0,1.0,1.0,5.0
leucite,0.9577464788732394,0.9714285714285714,0.9645390070921985,140.0
malayaite,0.0,0.0,0.0,7.0
monticellite,1.0,1.0,1.0,4.0
muscovite,1.0,0.9871244635193133,0.9935205183585313,233.0
orthoclase,0.9681528662420382,0.9559748427672956,0.9620253164556962,159.0
paragonite,0.5,1.0,0.6666666666666666,5.0
pargasite,0.5294117647058824,0.6,0.5625,15.0
perovskite,1.0,0.9896907216494846,0.9948186528497409,97.0
quartz,0.9833333333333333,1.0,0.9915966386554622,59.0
richterite,0.9230769230769231,0.8372093023255814,0.8780487804878049,43.0
rutile,1.0,1.0,1.0,83.0
sodalite,1.0,0.90625,0.9508196721311475,32.0
titanite,0.9941002949852508,0.9387186629526463,0.9656160458452722,359.0
trevorite,0.3,0.6,0.4,5.0
tschermakite,0.0,0.0,0.0,11.0
zircon,1.0,0.9959349593495935,0.9979633401221996,246.0
accuracy,0.6650007572315614,0.6650007572315614,0.6650007572315614,0.6650007572315614
macro avg,0.7356620207216518,0.7931716363612045,0.7268178046846931,6603.0
weighted avg,0.9561729903833414,0.6650007572315614,0.7096023063703424,6603.0
