,actinolite,albite,andalusite,chloroapatite,chromite,diopside,dolomite,enstatite,fayalite,forsterite,grossular,kaersutite,leucite,muscovite,orthoclase,pargasite,perovskite,quartz,richterite,rutile,sodalite,titanite,tschermakite,zircon
actinolite,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
albite,0,270,0,0,0,0,0,0,0,0,0,0,31,0,1,0,0,1,0,0,22,0,0,0
andalusite,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chloroapatite,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromite,0,0,0,0,299,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,21,0,0,0
diopside,0,2,0,0,0,1434,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
dolomite,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enstatite,0,0,0,0,0,1254,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fayalite,0,0,0,2,0,74,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
forsterite,0,0,0,0,0,959,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,1,0,0
grossular,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,6,0,0
kaersutite,0,0,0,0,0,24,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leucite,0,0,0,0,0,0,0,0,0,0,0,0,111,0,1,0,0,0,0,0,28,0,0,0
muscovite,0,0,0,0,3,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,206,0,3,0
orthoclase,0,3,0,0,0,0,0,0,0,0,0,0,5,0,151,0,0,0,0,0,0,0,0,0
pargasite,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perovskite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0
quartz,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
richterite,0,4,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rutile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0
sodalite,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,28,0,0,0
titanite,0,0,1,1,6,0,0,0,64,0,1,0,0,0,5,0,2,0,0,0,1,278,0,0
tschermakite,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
zircon,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243
