,precision,recall,f1-score,support
actinolite,0.003048006096012192,1.0,0.00607748797163839,12.0
albite,0.9483870967741935,0.4523076923076923,0.6125,325.0
andalusite,1.0,1.0,1.0,15.0
chloroapatite,0.9545454545454546,1.0,0.9767441860465116,63.0
chromite,1.0,0.9730538922155688,0.9863429438543247,334.0
diopside,1.0,0.0006906077348066298,0.0013802622498274672,1448.0
dolomite,1.0,1.0,1.0,32.0
enstatite,0.0,0.0,0.0,1322.0
fayalite,0.23076923076923078,0.02727272727272727,0.04878048780487805,110.0
forsterite,1.0,0.0038402457757296467,0.0076511094108645756,1302.0
grossular,0.75,0.25,0.375,12.0
kaersutite,0.027417027417027416,0.6551724137931034,0.05263157894736842,29.0
leucite,0.39002932551319647,0.95,0.553014553014553,140.0
muscovite,1.0,0.10300429184549356,0.1867704280155642,233.0
orthoclase,0.987012987012987,0.9559748427672956,0.9712460063897763,159.0
pargasite,0.0,0.0,0.0,15.0
perovskite,0.8405797101449275,0.5979381443298969,0.6987951807228916,97.0
quartz,0.9629629629629629,0.4406779661016949,0.6046511627906976,59.0
richterite,1.0,0.046511627906976744,0.08888888888888889,43.0
rutile,1.0,0.7590361445783133,0.863013698630137,83.0
sodalite,1.0,0.75,0.8571428571428571,32.0
titanite,0.8113207547169812,0.11977715877437325,0.2087378640776699,359.0
tschermakite,0.0,0.0,0.0,11.0
zircon,1.0,0.9959349593495935,0.9979633401221996,246.0
accuracy,0.21524456102453324,0.21524456102453324,0.21524456102453324,0.21524456102453324
macro avg,0.7044196898313739,0.503383029781386,0.46238883483669363,6481.0
weighted avg,0.74259108524765,0.21524456102453324,0.22567557618794787,6481.0
