,actinolite,albite,andalusite,chloroapatite,chromite,diopside,dolomite,enstatite,fayalite,forsterite,grossular,kaersutite,leucite,muscovite,orthoclase,pargasite,perovskite,quartz,richterite,rutile,sodalite,titanite,tschermakite,zircon
actinolite,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
albite,0,147,0,0,0,0,0,0,0,0,0,3,0,0,1,174,0,0,0,0,0,0,0,0
andalusite,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chloroapatite,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromite,0,0,0,0,325,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0
diopside,1133,0,0,0,0,1,0,0,0,0,0,283,0,0,0,31,0,0,0,0,0,0,0,0
dolomite,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enstatite,1318,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
fayalite,107,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forsterite,1296,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
grossular,0,0,0,0,0,0,0,0,0,0,3,7,2,0,0,0,0,0,0,0,0,0,0,0
kaersutite,10,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
leucite,0,1,0,0,0,0,0,0,0,0,0,0,133,0,0,6,0,0,0,0,0,0,0,0
muscovite,0,0,0,0,0,0,0,0,0,0,0,3,206,24,0,0,0,0,0,0,0,0,0,0
orthoclase,0,1,0,0,0,0,0,0,0,0,0,0,0,0,152,6,0,0,0,0,0,0,0,0
pargasite,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
perovskite,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,58,0,0,0,0,0,0,0
quartz,20,6,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,26,0,0,0,1,1,0
richterite,19,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,2,0,0,0,0,0
rutile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,63,0,9,0,0
sodalite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,24,0,0,0
titanite,6,0,0,3,0,0,0,0,7,0,1,296,0,0,0,0,0,0,0,0,0,43,3,0
tschermakite,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
zircon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,245
