,actinolite,albite,andalusite,chloroapatite,chromite,diopside,dolomite,enstatite,fayalite,forsterite,grossular,kaersutite,leucite,muscovite,orthoclase,pargasite,perovskite,quartz,richterite,rutile,sodalite,titanite,tschermakite,zircon
actinolite,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
albite,0,323,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
andalusite,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chloroapatite,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromite,1,0,1,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
diopside,482,2,0,0,0,937,0,11,0,0,0,0,9,0,0,0,0,0,0,0,0,4,3,0
dolomite,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enstatite,632,0,0,0,0,2,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fayalite,0,0,0,2,0,0,0,0,105,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
forsterite,5,0,0,0,0,0,0,435,178,683,1,0,0,0,0,0,0,0,0,0,0,0,0,0
grossular,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0
kaersutite,5,0,0,0,0,0,0,3,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
leucite,0,7,0,0,0,0,0,0,0,0,0,0,129,0,4,0,0,0,0,0,0,0,0,0
muscovite,0,0,0,0,0,0,0,0,0,0,0,0,0,137,91,0,0,0,0,0,5,0,0,0
orthoclase,0,8,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0
pargasite,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
perovskite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0
quartz,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
richterite,7,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0
rutile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0
sodalite,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,19,0,0,0
titanite,0,0,2,1,0,0,0,0,7,0,1,0,5,0,0,0,0,0,0,0,2,341,0,0
tschermakite,8,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
zircon,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,243
