,precision,recall,f1-score,support
actinolite,0.9230769230769231,1.0,0.96,12.0
aegirine,1.0,1.0,1.0,6.0
albite,0.99079754601227,0.9938461538461538,0.9923195084485407,325.0
almandine,1.0,1.0,1.0,65.0
analcime,1.0,0.7142857142857143,0.8333333333333334,7.0
andalusite,1.0,1.0,1.0,15.0
anhydrite,1.0,1.0,1.0,4.0
anorthite,0.8571428571428571,0.75,0.8,8.0
azurite,1.0,1.0,1.0,8.0
barite,1.0,1.0,1.0,7.0
beryl,1.0,1.0,1.0,9.0
calcite,1.0,1.0,1.0,27.0
chambersite,1.0,1.0,1.0,4.0
chloroapatite,1.0,1.0,1.0,63.0
chromite,0.985207100591716,0.9970059880239521,0.9910714285714286,334.0
clinozoisite,1.0,1.0,1.0,5.0
cummingtonite,0.6,0.5,0.5454545454545454,6.0
cuprite,1.0,1.0,1.0,6.0
diopside,0.9896265560165975,0.9882596685082873,0.9889426399447132,1448.0
dolomite,1.0,1.0,1.0,32.0
edenite,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
enstatite,0.9909297052154195,0.9916792738275341,0.991304347826087,1322.0
epidote,0.8,1.0,0.8888888888888888,4.0
fayalite,1.0,0.990909090909091,0.9954337899543378,110.0
ferrosilite,0.96875,0.9841269841269841,0.9763779527559056,504.0
fluorapatite,0.998998998998999,0.997002997002997,0.998,1001.0
forsterite,0.9961656441717791,0.9976958525345622,0.9969301611665388,1302.0
grossular,1.0,1.0,1.0,12.0
hedenbergite,0.974903474903475,0.9582542694497154,0.9665071770334929,527.0
hematite,1.0,1.0,1.0,5.0
hydroxylapatite,1.0,1.0,1.0,4.0
ilmenite,0.998220640569395,0.998220640569395,0.998220640569395,562.0
kaersutite,1.0,0.9310344827586207,0.9642857142857143,29.0
kalsilite,1.0,1.0,1.0,6.0
laumontite,1.0,1.0,1.0,5.0
leucite,1.0,0.9857142857142858,0.9928057553956835,140.0
magnesiohastingsite,0.4,0.5,0.4444444444444444,4.0
magnesiohornblende,0.9090909090909091,0.7407407407407407,0.8163265306122449,27.0
magnetite,0.997037037037037,0.9911634756995582,0.9940915805022157,679.0
malayaite,1.0,1.0,1.0,7.0
monticellite,1.0,1.0,1.0,4.0
muscovite,0.9957264957264957,1.0,0.9978586723768736,233.0
orthoclase,0.9695121951219512,1.0,0.9845201238390093,159.0
paragonite,1.0,1.0,1.0,5.0
pargasite,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
perovskite,1.0,0.9896907216494846,0.9948186528497409,97.0
phlogopite,0.9944289693593314,0.9944289693593314,0.9944289693593314,359.0
quartz,0.9833333333333333,1.0,0.9915966386554622,59.0
richterite,1.0,0.9767441860465116,0.9882352941176471,43.0
rutile,1.0,1.0,1.0,83.0
sodalite,1.0,1.0,1.0,32.0
titanite,0.9861495844875346,0.9916434540389972,0.9888888888888889,359.0
trevorite,1.0,1.0,1.0,5.0
tschermakite,0.6470588235294118,1.0,0.7857142857142857,11.0
zircon,1.0,1.0,1.0,246.0
accuracy,0.9896698204286541,0.9896698204286541,0.9896698204286541,0.9896698204286541
macro avg,0.9563457079498651,0.9555076934466928,0.9541193365779415,10358.0
weighted avg,0.9898685658853819,0.9896698204286541,0.9896574442535121,10358.0
