,precision,recall,f1-score,support
actinolite,0.7142857142857143,0.8333333333333334,0.7692307692307693,12.0
albite,0.9847094801223242,0.9907692307692307,0.9877300613496932,325.0
almandine,0.9848484848484849,1.0,0.9923664122137404,65.0
andalusite,1.0,1.0,1.0,15.0
calcite,1.0,1.0,1.0,27.0
chloroapatite,1.0,1.0,1.0,63.0
chromite,0.985207100591716,0.9970059880239521,0.9910714285714286,334.0
diopside,0.982806052269601,0.986878453038674,0.9848380427291523,1448.0
dolomite,1.0,1.0,1.0,32.0
enstatite,0.9924642049736248,0.9962178517397882,0.9943374858437146,1322.0
fayalite,0.990909090909091,0.990909090909091,0.990909090909091,110.0
ferrosilite,0.9880715705765407,0.9861111111111112,0.9870903674280039,504.0
fluorapatite,1.0,1.0,1.0,1001.0
forsterite,0.9984615384615385,0.9969278033794163,0.9976940814757879,1302.0
grossular,1.0,1.0,1.0,12.0
hedenbergite,0.9788867562380038,0.967741935483871,0.9732824427480916,527.0
ilmenite,0.9982078853046595,0.9911032028469751,0.9946428571428572,562.0
kaersutite,0.9310344827586207,0.9310344827586207,0.9310344827586207,29.0
leucite,0.9787234042553191,0.9857142857142858,0.9822064056939501,140.0
magnesiohornblende,0.8333333333333334,0.7407407407407407,0.7843137254901961,27.0
magnetite,0.9940915805022157,0.9911634756995582,0.9926253687315634,679.0
muscovite,1.0,0.9914163090128756,0.9956896551724138,233.0
orthoclase,0.9935483870967742,0.9685534591194969,0.9808917197452229,159.0
pargasite,0.75,0.8,0.7741935483870968,15.0
perovskite,1.0,1.0,1.0,97.0
phlogopite,0.9943977591036415,0.9888579387186629,0.9916201117318436,359.0
quartz,0.9833333333333333,1.0,0.9915966386554622,59.0
richterite,1.0,0.9302325581395349,0.963855421686747,43.0
rutile,0.9880952380952381,1.0,0.9940119760479041,83.0
sodalite,0.9411764705882353,1.0,0.9696969696969697,32.0
titanite,1.0,1.0,1.0,359.0
tschermakite,0.6428571428571429,0.8181818181818182,0.72,11.0
zircon,1.0,1.0,1.0,246.0
accuracy,0.990226739640344,0.990226739640344,0.990226739640344,0.990226739640344
macro avg,0.9584681518334895,0.9661482748097284,0.9616645170739491,10232.0
weighted avg,0.9903839345185492,0.990226739640344,0.9902627051029023,10232.0
