,precision,recall,f1-score,support
actinolite,0.0,0.0,0.0,12.0
albite,0.9664634146341463,0.9753846153846154,0.9709035222052067,325.0
almandine,1.0,1.0,1.0,65.0
andalusite,1.0,1.0,1.0,15.0
calcite,1.0,1.0,1.0,27.0
chloroapatite,1.0,0.9047619047619048,0.95,63.0
chromite,0.9730538922155688,0.9730538922155688,0.9730538922155688,334.0
diopside,0.9355992844364938,0.3611878453038674,0.521175884404584,1448.0
dolomite,1.0,1.0,1.0,32.0
enstatite,0.9856278366111951,0.9856278366111951,0.9856278366111951,1322.0
fayalite,0.8828828828828829,0.8909090909090909,0.8868778280542986,110.0
ferrosilite,0.9688715953307393,0.9880952380952381,0.9783889980353635,504.0
fluorapatite,0.9940417080436942,1.0,0.9970119521912351,1001.0
forsterite,0.9961119751166407,0.9838709677419355,0.9899536321483772,1302.0
grossular,1.0,0.6666666666666666,0.8,12.0
hedenbergite,0.351663272233537,0.9829222011385199,0.518,527.0
ilmenite,0.9718804920913884,0.9839857651245552,0.97789566755084,562.0
kaersutite,0.8823529411764706,0.5172413793103449,0.6521739130434783,29.0
leucite,0.9924242424242424,0.9357142857142857,0.9632352941176471,140.0
magnesiohornblende,0.3157894736842105,0.2222222222222222,0.2608695652173913,27.0
magnetite,0.9793205317577548,0.9764359351988218,0.9778761061946902,679.0
muscovite,0.9787234042553191,0.9871244635193133,0.9829059829059829,233.0
orthoclase,0.9805194805194806,0.949685534591195,0.9648562300319489,159.0
pargasite,1.0,0.06666666666666667,0.125,15.0
perovskite,1.0,0.9896907216494846,0.9948186528497409,97.0
phlogopite,0.9366754617414248,0.9888579387186629,0.962059620596206,359.0
quartz,0.9807692307692307,0.864406779661017,0.918918918918919,59.0
richterite,1.0,0.7906976744186046,0.8831168831168831,43.0
rutile,0.9876543209876543,0.963855421686747,0.975609756097561,83.0
sodalite,0.9411764705882353,1.0,0.9696969696969697,32.0
titanite,0.9592391304347826,0.9832869080779945,0.9711141678129298,359.0
tschermakite,0.0,0.0,0.0,11.0
zircon,1.0,1.0,1.0,246.0
accuracy,0.8859460516028147,0.8859460516028147,0.8859460516028147,0.8859460516028147
macro avg,0.8776012436950028,0.8161318774360158,0.8227618567883944,10232.0
weighted avg,0.9375804449519173,0.8859460516028147,0.8851258236659917,10232.0
