,precision,recall,f1-score,support
actinolite,1.0,0.5,0.6666666666666666,12.0
albite,0.99079754601227,0.9938461538461538,0.9923195084485407,325.0
almandine,0.9848484848484849,1.0,0.9923664122137404,65.0
andalusite,1.0,1.0,1.0,15.0
calcite,1.0,1.0,1.0,27.0
chloroapatite,1.0,0.9841269841269841,0.992,63.0
chromite,0.9909638554216867,0.9850299401197605,0.987987987987988,334.0
diopside,0.9869236063317275,0.9903314917127072,0.9886246122026887,1448.0
dolomite,1.0,1.0,1.0,32.0
enstatite,0.9932075471698113,0.9954614220877458,0.994333207404609,1322.0
fayalite,0.9732142857142857,0.990909090909091,0.9819819819819819,110.0
ferrosilite,0.9862745098039216,0.998015873015873,0.9921104536489151,504.0
fluorapatite,0.999001996007984,1.0,0.9995007488766849,1001.0
forsterite,0.9976923076923077,0.9961597542242704,0.9969254419677172,1302.0
grossular,0.9,0.75,0.8181818181818182,12.0
hedenbergite,0.9773584905660377,0.9829222011385199,0.9801324503311258,527.0
ilmenite,0.9946714031971581,0.99644128113879,0.9955555555555555,562.0
kaersutite,0.9642857142857143,0.9310344827586207,0.9473684210526315,29.0
leucite,1.0,1.0,1.0,140.0
magnesiohornblende,0.9090909090909091,0.7407407407407407,0.8163265306122449,27.0
magnetite,0.9912023460410557,0.9955817378497791,0.9933872152828802,679.0
muscovite,0.9957264957264957,1.0,0.9978586723768736,233.0
orthoclase,0.9937106918238994,0.9937106918238994,0.9937106918238994,159.0
pargasite,0.8,0.8,0.8,15.0
perovskite,1.0,1.0,1.0,97.0
phlogopite,1.0,0.9860724233983287,0.9929873772791024,359.0
quartz,0.9824561403508771,0.9491525423728814,0.9655172413793104,59.0
richterite,1.0,0.9767441860465116,0.9882352941176471,43.0
rutile,0.9880952380952381,1.0,0.9940119760479041,83.0
sodalite,1.0,1.0,1.0,32.0
titanite,0.9971988795518207,0.9916434540389972,0.994413407821229,359.0
tschermakite,0.75,0.8181818181818182,0.782608695652174,11.0
zircon,1.0,1.0,1.0,246.0
accuracy,0.9916927286942924,0.9916927286942924,0.9916927286942924,0.9916927286942924
macro avg,0.974143043870657,0.9498820081676205,0.9589427990579978,10232.0
weighted avg,0.9916789701572171,0.9916927286942924,0.9915452841631258,10232.0
